1, Веб-технологiї (лаб),ас. Ткаченко. О, NULL, NULL, NULL, NULL, Понедiлок, ФеП-13
2, Об.-орiєнт.прогр. (лаб),ас. Шевчук В.Д.,3, NULL, NULL, NULL, Понедiлок, ФеП-13
3, Об.-орiєнт.прогр. (лекц),доц. Кушнiр. О.О.,130, NULL, NULL, NULL, Понедiлок, ФеП-13
4, Веб-технологiї (лекц),ас. Ткаченко. О, NULL, NULL, NULL, NULL, Понедiлок, ФеП-13
5, Об.-орiєнт.прогр. (лаб),ас. Бавдис М.I.,3, NULL, NULL, NULL, Понедiлок, ФеП-13
6, Веб-технологiї (лаб),ас. Ткаченко. О, NULL, NULL, NULL, NULL, Понедiлок, ФеП-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-13
2, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-13
3, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-13
4, Iноземна мова (пр),ас. Шумська О.А.,5, NULL, NULL, NULL, Вiвторок, ФеП-13
5, Фiзвиховання (лекц), NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-13
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-13
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-13
2, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-13
3, ОС, сист. прогр. (лаб),ас. Сiнькевич. О.О.,8,Дискр. математ. (лаб),доц. Сас Н.Б.,1,Середа, ФеП-13
4, Iноземна мова (пр),ас. Шумська О.А.,76, NULL, NULL, NULL, Середа, ФеП-13
5, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-13
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-13
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-13
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-13
2, Дискр. математ. (лаб),ас. Кучеренко О.I.,12,ОС, сист. прогр. (лаб),ас. Сiнькевич. О.О.,9,Четвер, ФеП-13
3, Вища математика (пр),доц. Стахiв Л.Л.,406, NULL, NULL, NULL, Четвер, ФеП-13
